,Navn,Stasjon,Tid(norsk normaltid),Lufttemperatur
344,Sunndalsøra Iii,SN63420,2012-06-08 05:15:00,9.4
345,Sunndalsøra Iii,SN63420,2012-06-08 05:45:00,9.4
346,Sunndalsøra Iii,SN63420,2012-06-08 06:15:00,9.5
347,Sunndalsøra Iii,SN63420,2012-06-08 06:45:00,9.6
348,Sunndalsøra Iii,SN63420,2012-06-08 07:15:00,9.7
349,Sunndalsøra Iii,SN63420,2012-06-08 07:45:00,9.8
350,Sunndalsøra Iii,SN63420,2012-06-08 08:15:00,10
351,Sunndalsøra Iii,SN63420,2012-06-08 08:45:00,10.2
352,Sunndalsøra Iii,SN63420,2012-06-08 09:15:00,10.4
353,Sunndalsøra Iii,SN63420,2012-06-08 09:45:00,10.6
354,Sunndalsøra Iii,SN63420,2012-06-08 10:15:00,10.8
355,Sunndalsøra Iii,SN63420,2012-06-08 10:45:00,11.4
356,Sunndalsøra Iii,SN63420,2012-06-08 11:15:00,12.1
357,Sunndalsøra Iii,SN63420,2012-06-08 11:45:00,12.6
358,Sunndalsøra Iii,SN63420,2012-06-08 12:15:00,13.1
359,Sunndalsøra Iii,SN63420,2012-06-08 12:45:00,13.4
360,Sunndalsøra Iii,SN63420,2012-06-08 13:15:00,13.7
361,Sunndalsøra Iii,SN63420,2012-06-08 13:45:00,13.6
362,Sunndalsøra Iii,SN63420,2012-06-08 14:15:00,13.6
363,Sunndalsøra Iii,SN63420,2012-06-08 14:45:00,13.8
364,Sunndalsøra Iii,SN63420,2012-06-08 15:15:00,14
365,Sunndalsøra Iii,SN63420,2012-06-08 15:45:00,14.8
366,Sunndalsøra Iii,SN63420,2012-06-08 16:15:00,15.6
367,Sunndalsøra Iii,SN63420,2012-06-08 16:45:00,15.9
368,Sunndalsøra Iii,SN63420,2012-06-08 17:15:00,16.2
369,Sunndalsøra Iii,SN63420,2012-06-08 17:45:00,16.2
370,Sunndalsøra Iii,SN63420,2012-06-08 18:15:00,16.3
371,Sunndalsøra Iii,SN63420,2012-06-08 18:45:00,16.1
372,Sunndalsøra Iii,SN63420,2012-06-08 19:15:00,16
373,Sunndalsøra Iii,SN63420,2012-06-08 19:45:00,15.9
374,Sunndalsøra Iii,SN63420,2012-06-08 20:15:00,15.9
375,Sunndalsøra Iii,SN63420,2012-06-08 20:45:00,14.7
376,Sunndalsøra Iii,SN63420,2012-06-08 21:15:00,13.5
377,Sunndalsøra Iii,SN63420,2012-06-08 21:45:00,13.4
378,Sunndalsøra Iii,SN63420,2012-06-08 22:15:00,13.3
379,Sunndalsøra Iii,SN63420,2012-06-08 22:45:00,12.6
380,Sunndalsøra Iii,SN63420,2012-06-08 23:15:00,11.9
