RovbaseID,Funnetdato,Skadetype,Rase,"Rase, annet","Skadedato, fra","Skadedato, til",Usikker skadedato,Kjønn,Alder,Antall,Tilstand,Skadeårsak,Vurdering,Skadested,KommuneID,Nord (opprinnelig),Øst (opprinnelig),Nord (UTM33/SWEREF99 TM),Øst (UTM33/SWEREF99 TM),Nord (RT90),Øst (RT90),Koordinatsystem,Stedkvalitet,Kommune,Fylkenummer,Fylke
K504046,21.07.2019,Sau,Spel,,16.07.2019,18.07.2019,Ja,Hunn,Åring,1,Dødt,Ulv,Antatt sikker,Utmark,1-5034,7035066,341303,7035066,341303,7039505,1301066,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K504048,21.07.2019,Sau,Spel,,16.07.2019,18.07.2019,Ja,Hunn,Under 1 år,1,Dødt,Ulv,Dokumentert,Utmark,1-5034,7035063,341260,7035063,341260,7039503,1301023,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K504050,06.07.2019,Sau,Spel,,09.06.2019,25.06.2019,Ja,Ukjent,Under 1 år,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7033778,638856,7034804,339247,7039269,1299005,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K504051,06.07.2019,Sau,Spel,,09.06.2019,25.06.2019,Ja,Ukjent,Under 1 år,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7033778,638846,7034805,339237,7039270,1298995,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K504052,06.07.2019,Sau,Spel,,09.06.2019,25.06.2019,Ja,Ukjent,Under 1 år,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7033783,638861,7034809,339252,7039274,1299011,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K504053,06.07.2019,Sau,Spel,,09.06.2019,25.06.2019,Ja,Ukjent,Under 1 år,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7033782,638859,7034808,339250,7039273,1299008,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K504054,06.07.2019,Sau,Spel,,09.06.2019,25.06.2019,Ja,Ukjent,Under 1 år,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7033777,638856,7034803,339247,7039268,1299005,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K504056,06.07.2019,Sau,Spel,,09.06.2019,25.06.2019,Ja,Ukjent,Åring,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7033786,638871,7034811,339262,7039276,1299021,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K470921,06.08.2016,Sau,Norsk kvit sau,,05.08.2016,06.08.2016,Ja,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7021761,643043,7022448,342292,7026868,1301897,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N)
K469816,07.07.2016,Sau,Norsk kvit sau,,04.07.2016,07.07.2016,Ja,Hunn,Voksen,1,Dødt,Bjørn,Antatt sikker,Utmark,1-5034,7014590,645660,7015063,344228,7019455,1303740,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N)
